success_index
7
23
12
31
8
3
1
5
12
26
18
6
6
15
2
2
25
1
3
10
14
4
28
17
22
11
32
21
22
6
14
17
3
21
23
14
1
4
26
7
4
7
5
34
3
27
4
23
7
29
2
5
25
21
11
5
15
22
10
31
17
13
23
24
6
11
4
17
9
28
10
17
17
3
35
1
18
19
17
23
27
21
15
4
18
10
7
3
12
5
34
2
20
15
12
4
10
16
22
1
22
34
10
11
30
11
14
7
5
27
25
35
27
2
26
23
19
24
10
24
23
11
1
20
14
13
7
22
1
1
15
26
13
5
5
8
1
5
4
12
17
16
11
4
23
21
13
4
27
19
