success_index
95
53
57
55
84
21
77
69
73
87
91
82
87
94
86
94
84
67
10
96
86
95
58
94
96
91
93
78
92
96
87
43
64
80
46
30
94
92
97
80
87
92
44
79
79
61
94
88
71
79
87
54
96
83
83
96
80
91
96
92
95
84
37
76
91
85
93
96
72
98
82
91
93
73
92
79
90
63
66
98
78
96
89
89
66
94
73
81
53
85
56
86
75
98
94
85
94
96
52
98
96
83
56
89
71
96
91
95
95
74
95
24
77
26
94
91
88
66
70
94
96
88
52
81
96
97
92
84
24
90
94
97
65
94
97
82
93
74
83
91
74
62
78
97
60
66
63
90
55
63
